number,weight,nonce,hash,fee_reward,total_transactions
591028,3998690,558441253,21,5815,3277
591029,3993037,2647743632,21,4622,2417
591030,3993222,2759950132,20,2071,2552
591031,3998264,213482916,21,2803,2326
591032,3078982,1267662097,24,2231,2025
591033,3993396,1518553187,21,4747,1940
591034,2964195,33541109,20,1668,1982
591035,3801026,2662172471,22,3118,2487
591036,3993268,2266108821,21,5984,2710
591037,3992963,49098904,23,5218,2690
591038,3998667,2335668341,21,5438,3216
591039,3993320,782863754,21,2210,2580
591040,3869647,400424692,25,2456,2619
591041,397752,2252612271,21,499,250
591042,2794986,621680434,21,2597,1688
591043,3993233,1334436474,25,3978,2603
591044,2681063,2396330997,25,1993,1746
591045,3998536,487011715,23,4679,2541
591046,3873070,2282064120,24,2473,2636
591047,109902,263564787,20,90,100
591048,3928597,3513091111,21,3620,2717
591049,303233,2313349913,21,476,154
591050,3993572,4144530159,25,8462,3087
591051,3993223,2713116585,22,4902,2823
591052,3993238,825900332,23,4050,1716
591053,3993309,2460766234,23,6169,3071
591054,3993257,3713866546,25,5509,1969
591055,3993338,1115952992,20,3756,2092
591056,3993202,4220428677,21,3595,2157
591057,3993549,1773299477,23,5816,2526
591058,3993076,1521223120,23,4160,2246
591059,3998587,488779944,24,2801,2532
591060,3993126,3784904606,22,6042,2233
591061,3993377,2454529140,22,3525,2903
591062,3993163,3847646850,21,5578,2558
591063,3992783,2465495108,24,3811,2253
591064,3993537,2158468892,21,655,1935
591065,3993071,125117336,26,3231,2302
591066,3993560,448448585,23,4388,2462
591067,3993058,1797898481,22,6058,2583
591068,3998410,2420204988,23,1437,2384
591069,3998582,2442092724,22,2666,2480
591070,3992785,2485195204,23,4276,2414
591071,3993351,1166102412,25,1976,2165
591072,3993216,764582161,25,2984,2389
591073,1563830,2949650436,27,1085,685
591074,3993070,248689296,22,5903,2549
591075,3993120,2208674169,22,4717,2233
591076,3382007,2793521424,22,402,2370
591077,3993385,1154806262,20,6561,2540
591078,3993527,1505630677,22,5766,2947
591079,3998646,3767053337,21,2439,2765
591080,3993213,882512163,24,2358,2627
591081,2557338,3626399444,22,2052,1160
591082,2987346,387843597,24,2481,1924
591083,2207326,250209992,23,2053,1200
591084,1098287,2733023747,21,1078,687
591085,1378311,116166473,25,1201,515
591086,3992985,3157776547,21,5016,2773
591087,3993440,1293705033,24,3249,2392
591088,3993184,257696708,22,6065,3073
591089,3993029,2383987629,23,2360,1489
591090,3998716,330604097,23,5644,2841
591091,3993586,3269132092,20,1466,2240
591092,3993028,2609779271,21,5931,2606
591093,3993420,3042206061,22,5465,2749
591094,3993251,309232697,23,4013,2386
591095,3992957,681202039,25,3933,2420
591096,3993063,2811664333,22,4441,2503
591097,3993376,3273490770,24,1049,2631
591098,3993433,761863719,19,6294,2906
591099,3998308,1274170888,22,4118,2523
591100,3998685,2449701296,19,8682,1634
591101,3992927,817716460,23,6911,2154
591102,3993470,2273204637,24,4413,1465
591103,3993425,516681157,20,5338,2812
591104,3993241,961611786,19,5438,1978
591105,3993236,1120043344,21,4421,2091
591106,3993340,475118622,22,8276,2991
591107,3993240,488001626,22,5251,2596
591108,3998464,2366384557,23,4986,3064
591109,3993246,937595058,20,5783,2378
591110,3993145,194067417,20,6109,2753
591111,3998760,1606431867,22,5482,2393
591112,3993172,3297029992,22,4296,2661
591113,3993149,2914552760,22,3313,2789
591114,3998333,1646598832,21,5633,2295
591115,3993216,1502804434,27,4333,2316
591116,3998620,658179168,21,5873,2705
591117,3998640,1175491291,21,5074,1868
591118,3993540,365260550,24,3857,1336
591119,3993031,942035085,23,4730,2199
591120,3993351,1500838973,23,4253,1780
591121,3993335,926274260,24,4464,2469
591122,3993542,2652395782,21,2365,2030
591123,3993519,1818375385,23,2332,1520
591124,3993150,593692061,23,4470,2469
591125,3993257,499245574,26,4607,2227
591126,3993217,2479894744,22,4257,2410
591127,3993275,29766669,23,2309,1109
591128,3993379,3636420365,22,1310,867
591129,3993578,139929825,23,3548,2287
591130,3993289,2289414192,25,3267,2186
591131,3993351,1791544149,23,4505,2700
